2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0cd7dd5735a9a75ff0deacfdfc199ac6cf638dc12ea76d0adba9437cdd52b309 at height 24
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6a86dda199f24f10d97aae4a8e08ca07ba3cfe4bf52de26b45b15456153d18c6 at height 25
2019-07-19 13:02:23.535 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 5532ac18cb9238615224866cd0e2ccf8a80b53d4eada4844dbb68e32a886eea8 at height 26
2019-07-19 13:02:23.535 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block dd6193f83fd298c13ca6f62ef386cfbd081362a09edff9c4edf50a775d4193b5 at height 27
2019-07-19 13:02:23.535 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block b3fd93b8d82f92e2be61bdbc79d5d043f614e1866bc1b0d491691d424002ca19 at height 28
2019-07-19 13:02:23.535 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ae96bfb2619b4812c64ed61bf0d5cdaa94746bf4f986a7e48ce4f95e313a08a9 at height 29
2019-07-19 13:02:23.535 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 8fab78ef45dfe1edd6aa499c4ff86e2ad332b82577a84be0b57cb80a49c7b671 at height 30
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block a338840b590377eec8f6ec8d7cbd6997764eb32b179529b6426cd6e2ce6be8e0 at height 31
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 20a81ed7707dbb4a72d027bff501ccd2c2dd3437c3c414fc21d3b0cb5e2b6815 at height 32
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block da87f844b4de7c1e7ee2edbe12212396df6b57e7a3d38a2cf61102a1400db6eb at height 33
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block bd5c4c11e913f8493b8328ceff6c84237bcff6ed2bdce6d1666d7f2f7cd686e3 at height 34
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block f7dfa6711b35bbc1d374f1f40bd4198b30f136690c580841b8f03ee9eebed25c at height 35
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block d7ee9fdf9b261f6d35f943b43522f777aac7407077b7d6496bb0387c0285a219 at height 36
2019-07-19 13:02:23.537 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 3d6b7931bf26c91b250fc0b0162708897a659a9c163b66851451bf7a32e9f68d at height 37
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 1e97397fe3ba866898a9594e2fc0baaa6697f35374d0779adf466c1f8166e4a2 at height 38
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ade17555802a25a72a365ee8511abba2b6d2b578d0387c2f92041e1ab25117c0 at height 39
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block aca30b07f25603d822402a1e7797b3e9bad33d4c3bf462896b892586d59ae283 at height 40
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block bf3cc9be0a207d08dbc83d3a66fb9ad6354299ede88c2ea3d6ce0323e915b113 at height 41
