2019-04-23 20:06:12.604 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 2372781be5b999c3943b405f822681944c3aabc1feb9f2eb85b889f8a663f556 at height 39
2019-04-23 20:06:12.605 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 14764f81ed1d34a8afbdc248a555d048d76eacfc40b8b30c6437d760a002dd5d at height 40
2019-04-23 20:06:12.605 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block f8ef1e6602cde08c10596057373640b2a62aa056744818e619ed2931190844e0 at height 41
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 2cf802705e95d4d0da7a88ce1758fc14d097587d07aa7bc91163e85eccd793fd at height 42
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 29f25858bb181947a6d56427b34e2b4056332e3630c62f090becd48fcd5d9b96 at height 43
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 914383b652acfacc82e34b71ef901eb02504aaeda397f7c7c1e6f824263e04c4 at height 44
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 0b6d80a01671d12ef75c51af04791b71096dd2d1f2311a2e897b4585a454d7c6 at height 45
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block cafc130f687713e52e1af0101381d383b8124aa52092a1195b3d61c42dd3bc28 at height 46
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 3362f17ec7a0c3776b44e9439a6847df7bc25225267913a5381a225fb34e60a6 at height 47
2019-04-23 20:06:12.623 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 6638ce1f452fe9c6357c329639d1e0a0f19b201b4e1b64277e9b1e65695ce154 at height 48
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 59a60ec6f38efdcebf6aaaca31f293dd2b71215f4cccb46c4710dda089957acc at height 49
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 28b7ab0df09a551b98801a04601e555e9ddf1322973b10475db315e2db8e0d30 at height 50
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block ccd6824459dd4ad9c865c77d4a33eaf81e313911be2a7e3d84732b2473abaa06 at height 51
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 730c01eeec72a2f6d1ab825a0823378af4ff18c31fdb43937fa57b5032ad0c74 at height 52
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block a9999d5a10b55340b908b6b610cf4b95896963d559f0a3c5f374a905cf32e2ad at height 53
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block a46aa59252fb946275241f6647a6bb7d4c819fb9d564e5aa5f6983e8a268a2d8 at height 54
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 7655b089ec0bd9ed1c6d7553a294d8a7ee032e652a0585b7f699deeec2d5a8a2 at height 55
2019-04-23 20:06:12.624 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block b5a0c9c9a4c76b2f68e8579c09319c760766a124e2e3111138683063ec8c8890 at height 56
2019-04-23 20:06:12.625 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block bdda5ac3799fa7d6e1f80d89c02be4b944964b575be60d3b91deed79e41bb53e at height 57
