2019-09-25 23:57:35.243 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:244: New valid peer 172.20.0.3:20338 (outbound)
2019-09-25 23:57:35.270 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 7dc0f072c4bb849202b3747f43a717209862487b109cf13e67a0cdc5226fc53a at height 26
2019-09-25 23:57:35.270 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 769ec37f5c19dd418feba9927ae1a4499dacf26788a92d6fd7f75c2693527c05 at height 27
2019-09-25 23:57:35.270 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block a4df27f6301bd32bb05f40b2d0d7fc9309f0f3655c869b8ac3fdeabf4b9c723b at height 28
2019-09-25 23:57:35.270 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 95d3a68f899d1ef291da0f76619f5da26abba22413171949518345e07ef1b1c5 at height 29
2019-09-25 23:57:35.270 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block fc1f8367ed5c213f0b5ecc429e6821c4abc1405fd581345c481c3d6f14e3cb5d at height 30
2019-09-25 23:57:35.275 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 91a57a9e8153a3f6cb5203083a3eb7f7a8b23bf800896d7eee9666286d879c1f at height 31
2019-09-25 23:57:35.275 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block f3fc6eb660e317cc010118cdb9e87326e47b2e8d32bf7d67a6a68c908dbc5acc at height 32
2019-09-25 23:57:35.275 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6e19f2413a49366b2725470bba6b6f42d596225edb064c8d3d2143a8a748a959 at height 33
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block cffd1eda8cdb91db92d94ff8f49804545b743af629886ff94ed542ff1ac53e9e at height 34
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0c469d10499d1a2d4b67081b00d642134d530ef5f2712c46bccaf21abdad93f1 at height 35
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c17dab31d0d8272fbb53fb5a9921785116f4c9f58c2de8bb169d9c23f6769de6 at height 36
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 4905afd6200559869325b97b0a818b05c41bdd5c69d6bac13280da21694f51a3 at height 37
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 846731dff1cff7fcf299201609e3f67628acdbbcce6c3f7219afb623f92fcbc3 at height 38
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 4589a9c0a90eee98d2fe1015aedcc586776f3477c03362f45226883fff06b97f at height 39
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 340547da0672d08f8e7d7ff23e6b2ece41595f4c2efcaf5066f1a80e202cb265 at height 40
2019-09-25 23:57:35.280 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ad54bdbcea35017727abd5513014716f358bcb85ce5ef5ce8863e83d12c23694 at height 41
2019-09-25 23:57:35.281 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block bc6dbd07fd61c8435dbd76291dabc0e4868c863971b95e4d6accc9e26c5deb9d at height 42
2019-09-25 23:57:35.281 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c4e811f48f069f76cdca0ba23773026c741a7e9c4e92e1bd5bff0881a2575d52 at height 43
2019-09-25 23:57:35.281 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 85e65e3eea0c2b3bfa98f5217c43758a879b4bc6dfb2738c64cb1ac65a6e45f2 at height 44
2019-09-25 23:57:35.281 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6c63ba0e45159ffeb477da9d73f6845ec6d8532cf3c4aa64df84430442a6a485 at height 45
2019-09-25 23:57:35.281 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block d85691872beb36c8d1a5aba3acf9877434aae7459bd96ed776c5f256f001cf11 at height 46
2019-09-25 23:57:35.281 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6192371fcc70683dd0aade2dacbedd33049d211854f6b5073f12cd81d71b06da at height 47
2019-09-25 23:57:35.285 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c2c577fd0770330f6dc90a041c967ad3d70238d63b920998a02a1d851ca8a255 at height 48
